name,first_publication_year,career_stage,gender,orcid_id,year,times_cited,coauthor_M,coauthor_F,coauthor_count,coauthor_country,group
Won-Yeon Lee,1994.0,Senior,M,0000-0002-5461-6770,2017,6,2,0,6,{'South Korea': 7},Control
Won-Yeon Lee,1994.0,Senior,M,0000-0002-5461-6770,2017,48,2,1,10,{'South Korea': 11},Control
Won-Yeon Lee,1994.0,Senior,M,0000-0002-5461-6770,2017,37,2,0,6,{'South Korea': 6},Control
Abhinav Mittal,2017.0,Early,M,0000-0002-8683-6452,2023,4,8,1,9,{'United States': 17},Control
Abhinav Mittal,2017.0,Early,M,0000-0002-8683-6452,2017,1,3,1,4,{'United States': 4},Control
Abhinav Mittal,2017.0,Early,M,0000-0002-8683-6452,2017,1,3,1,4,{'United States': 4},Control
Stacy Pasciolla,2020.0,Early,F,0000-0002-8109-7347,2023,0,3,4,8,{'United States': 8},Control
Stacy Pasciolla,2020.0,Early,F,0000-0002-8109-7347,2023,2,1,3,6,{'United States': 6},Control
Stacy Pasciolla,2020.0,Early,F,0000-0002-8109-7347,2023,2,3,3,8,{'United States': 13},Control
Alyson Katz,2020.0,Early,F,0000-0002-7177-4631,2023,0,5,3,8,{'United States': 4},Control
Alyson Katz,2020.0,Early,F,0000-0002-7177-4631,2023,0,5,2,7,{'United States': 6},Control
Alyson Katz,2020.0,Early,F,0000-0002-7177-4631,2023,0,3,6,10,{'United States': 10},Control
Alyson Katz,2020.0,Early,F,0000-0002-7177-4631,2023,6,5,3,8,{'United States': 9},Control
Alyson Katz,2020.0,Early,F,0000-0002-7177-4631,2023,0,5,0,5,{},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,0,12,7,20,{'United States': 16},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,2,8,7,25,{'United States': 53},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,"{'United States': 5, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,5,5,12,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,1,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,3,1,1,5,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,1,2,0,5,"{'United States': 4, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,2,0,7,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,3,{'United States': 5},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,2,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,4,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,5,"{'Mexico': 1, 'United States': 4}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,3,10,"{'United States': 12, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,3,3,7,{'United States': 7},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,8,6,2,16,{'United States': 17},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,0,6,"{'Mexico': 2, 'United States': 8}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,4,{'United States': 11},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,1,7,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,8,7,25,{'United States': 53},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,1,1,0,2,{'United States': 4},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,6,1,0,2,{'United States': 4},Control
Jiuann-Huey Lin,1998.0,Senior,U,0000-0003-3029-6079,2023,9,4,2,9,{'United States': 11},Control
Jiuann-Huey Lin,1998.0,Senior,U,0000-0003-3029-6079,2023,11,1,0,16,"{'United States': 21, 'Canada': 1}",Control
Jiuann-Huey Lin,1998.0,Senior,U,0000-0003-3029-6079,2023,1,0,1,2,{'United States': 2},Control
